id_woo;sku;nome;status;acao;score;motivo_match;erp_codigo;erp_descricao;erp_referencia;erp_marca;erp_ncm;erp_edit_url;ncm_sugerido;ncm_confianca;ncm_motivo;ncm_fonte;ncm_erp_codigo_base;ncm_erp_descricao_base;ncm_regra_original;precisa_revisao_ncm;mensagem
161321;76487.1.3;LAVADORA CONSUL CWN16 16KG BRANCO 127V;NOVO;SIMULAR_CADASTRO;0.0;Nenhum produto encontrado no ERP.;;;;;;;;Baixa;Lavadora/tanquinho: preferir NCM de produto similar no ERP ou revisão fiscal.;regra_conservadora;;;;True;"Cadastro simulado; nada foi salvo."
161315;76485.3.0;SMARTPHONE SAMSUNG A37 A376 128GB 5G PRETO;NOVO;SIMULAR_CADASTRO;0.0;Nenhum produto encontrado no ERP.;;;;;;;8517.62.62;Alta;Aparelhos de telefonia/celular;regra_interna;;;;False;"Cadastro simulado; nada foi salvo."
161310;76483.2242.0;SMARTPHONE SAMSUNG A57 A576 128GB 5G AZUL ESCURO;NOVO;SIMULAR_CADASTRO;0.0;Nenhum produto encontrado no ERP.;;;;;;;8517.62.62;Alta;Aparelhos de telefonia/celular;regra_interna;;;;False;"Cadastro simulado; nada foi salvo."
161304;76484.3.0;SMARTPHONE SAMSUNG A37 A376 256GB 5G PRETO;NOVO;SIMULAR_CADASTRO;0.0;Nenhum produto encontrado no ERP.;;;;;;;8517.62.62;Alta;Aparelhos de telefonia/celular;regra_interna;;;;False;"Cadastro simulado; nada foi salvo."
161299;76482.2242.0;SMARTPHONE SAMSUNG A57 A576 256GB 5G AZUL ESCURO;NOVO;SIMULAR_CADASTRO;0.0;Nenhum produto encontrado no ERP.;;;;;;;8517.62.62;Alta;Aparelhos de telefonia/celular;regra_interna;;;;False;"Cadastro simulado; nada foi salvo."
161293;74964.3.3;LIQUIDIFICADOR ELECTROLUX EFFICIENT EBL1300 1300W 3,2L PRETO 127V;NOVO;SIMULAR_CADASTRO;0.0;Nenhum produto encontrado no ERP.;;;;;;;;Baixa;Eletroportátil: revisar NCM antes de cadastrar.;regra_conservadora;;;;True;"Cadastro simulado; nada foi salvo."
161286;74280.1.2;LAVADORA WANKE NEW CONFORT LWBE100T PB 10KG BRANCO 220V;REVISAO;REVISAO_HUMANA;0.5546;Resultados encontrados, mas similaridade baixa.;11499;LAVADORA 10KG SEMI-AUTO COMFORT LWBE100T BRANCA 220V WANKE;15000002;WANKE;8450.19.00;https://smart.sgisistemas.com.br/produtos/27063/edit;8450.19.00;Média;"NCM sugerido pelo produto similar no ERP (11499); revisar antes de salvar.";erp_similar;11499;LAVADORA 10KG SEMI-AUTO COMFORT LWBE100T BRANCA 220V WANKE;;True;"Produto parecido; exige conferência humana antes de atualizar/cadastrar."
161282;74313.1.2;LAVADORA WANKE NEW PREMIUM LWBE201T PB 20KG BRANCO 220V;REVISAO;REVISAO_HUMANA;0.6032;Resultados encontrados, mas similaridade baixa.;12779;LAVADORA 20KG SEMI-AUTO PREMIUM LWBE201T BRANCA 220V WANKE;15040002;WANKE;8450.20.90;https://smart.sgisistemas.com.br/produtos/28343/edit;8450.20.90;Média;"NCM sugerido pelo produto similar no ERP (12779); revisar antes de salvar.";erp_similar;12779;LAVADORA 20KG SEMI-AUTO PREMIUM LWBE201T BRANCA 220V WANKE;;True;"Produto parecido; exige conferência humana antes de atualizar/cadastrar."
161276;74313.3.2;LAVADORA WANKE NEW PREMIUM LWBE201T PB 20KG PRETO 220V;REVISAO;REVISAO_HUMANA;0.6488;Resultados encontrados, mas similaridade baixa.;11508;LAVADORA 20KG SEMI-AUTO PREMIUM LWBE201T PRETO 220V WANKE;15040004;WANKE;8450.20.90;https://smart.sgisistemas.com.br/produtos/27072/edit;8450.20.90;Média;"NCM sugerido pelo produto similar no ERP (11508); revisar antes de salvar.";erp_similar;11508;LAVADORA 20KG SEMI-AUTO PREMIUM LWBE201T PRETO 220V WANKE;;True;"Produto parecido; exige conferência humana antes de atualizar/cadastrar."
161269;74280.3.2;LAVADORA WANKE NEW CONFORT LWBE100T PB 10KG PRETO 220V;REVISAO;REVISAO_HUMANA;0.6;Resultados encontrados, mas similaridade baixa.;11500;LAVADORA 10KG SEMI-AUTO COMFORT LWBE100T PRETO 220V WANKE;15000004;WANKE;8450.19.00;https://smart.sgisistemas.com.br/produtos/27064/edit;8450.19.00;Média;"NCM sugerido pelo produto similar no ERP (11500); revisar antes de salvar.";erp_similar;11500;LAVADORA 10KG SEMI-AUTO COMFORT LWBE100T PRETO 220V WANKE;;True;"Produto parecido; exige conferência humana antes de atualizar/cadastrar."
161261;73228.3.3;FRITADEIRA BRITANIA AIR FRYER 5,5L BFR50 PRETO 127V;NOVO;SIMULAR_CADASTRO;0.0;Nenhum produto encontrado no ERP.;;;;;;;;Baixa;Eletroportátil/air fryer: revisar NCM antes de cadastrar.;regra_conservadora;;;;True;"Cadastro simulado; nada foi salvo."
161248;66217.605.2;GRILL BRITANIA PRESS 180 PRETO 220V;REVISAO;REVISAO_HUMANA;0.4576;Resultados encontrados, mas similaridade baixa.;13401;SANDUICHEIRA E GRILL BGR24G 220V BRITANIA;066702165;BRITANIA;8516.79.90;https://smart.sgisistemas.com.br/produtos/28965/edit;8516.79.90;Baixa;"NCM sugerido pelo produto similar no ERP (13401); revisar antes de salvar.";erp_similar;13401;SANDUICHEIRA E GRILL BGR24G 220V BRITANIA;;True;"Produto parecido; exige conferência humana antes de atualizar/cadastrar."
161246;65748.3.2;MIXER BRITANIA BMX350 PRETO 220V;NOVO;SIMULAR_CADASTRO;0.0;Nenhum produto encontrado no ERP.;;;;;;;;Baixa;Eletroportátil: revisar NCM antes de cadastrar.;regra_conservadora;;;;True;"Cadastro simulado; nada foi salvo."
161235;76330.3.4;"TV 50"" AOC SMART ROKU UHD 4K 50U6125/78G PRETO BIV";REVISAO;REVISAO_HUMANA;0.6099;Resultados encontrados, mas similaridade baixa.;11382;"TV 50"" LED 4K SMART ROKU WIFI/USB/HDMI 50U6125/78G-50U7045/78G AOC";30460.0.0;AOC;8528.72.00;https://smart.sgisistemas.com.br/produtos/26946/edit;8528.72.00;Média;"NCM sugerido pelo produto similar no ERP (11382); revisar antes de salvar.";erp_similar;11382;"TV 50"" LED 4K SMART ROKU WIFI/USB/HDMI 50U6125/78G-50U7045/78G AOC";8528.72.00;True;"Produto parecido; exige conferência humana antes de atualizar/cadastrar."
161225;74967.1374.0;G ROUPA MOVAL MARAJO PARIS 8PT 2GAV FREIJO;NOVO;SIMULAR_CADASTRO;0.0;Nenhum produto encontrado no ERP.;;;;;;;9403.50.00;Média;Móveis de madeira para quarto;regra_interna;;;;True;"Cadastro simulado; nada foi salvo."
161222;74967.2854.0;G ROUPA MOVAL MARAJO PARIS 8PT 2GAV FREIJO;NOVO;SIMULAR_CADASTRO;0.0;Nenhum produto encontrado no ERP.;;;;;;;9403.50.00;Média;Móveis de madeira para quarto;regra_interna;;;;True;"Cadastro simulado; nada foi salvo."
161217;76410.2721.0;BICICLETA TRACK ARO 26 TK3 SERENA ROSA OPALA;NOVO;SIMULAR_CADASTRO;0.0;Nenhum produto encontrado no ERP.;;;;;;;;Baixa;Bicicleta: revisar NCM antes de cadastrar.;regra_conservadora;;;;True;"Cadastro simulado; nada foi salvo."
161215;76471.2730.0;SMARTPHONE MOTOROLA G17 XT2623 128GB 4G AZUL CLARO;MATCH_MEDIO;REVISAO_HUMANA;0.7668;"Produto parecido; recomenda revisão antes de alterar.";15016;SMARTPHONE MOTOROLA G17 XT2623 256GB 4G ROXO;76472.10.0;MOTOROLA;8517.62.62;https://smart.sgisistemas.com.br/produtos/30582/edit;8517.62.62;Média;"NCM sugerido pelo produto similar no ERP (15016); revisar antes de salvar.";erp_similar;15016;SMARTPHONE MOTOROLA G17 XT2623 256GB 4G ROXO;8517.62.62;True;"Produto parecido; exige conferência humana antes de atualizar/cadastrar."
161213;76472.10.0;SMARTPHONE MOTOROLA G17 XT2623 256GB 4G ROXO;MATCH_FORTE;SIMULAR_ATUALIZACAO;0.99;SKU Woo igual à Ref. Fornecedor/Produto do ERP.;15016;SMARTPHONE MOTOROLA G17 XT2623 256GB 4G ROXO;76472.10.0;MOTOROLA;8517.62.62;https://smart.sgisistemas.com.br/produtos/30582/edit;8517.62.62;Alta;NCM herdado do produto ERP correspondente (15016) por match forte.;erp_match_forte;15016;SMARTPHONE MOTOROLA G17 XT2623 256GB 4G ROXO;8517.62.62;False;"Atualização simulada; nada foi salvo."
161200;76412.2723.0;BICICLETA TRACK ARO 20 TK3 COMETA AZUL ZIMBRO;NOVO;SIMULAR_CADASTRO;0.0;Nenhum produto encontrado no ERP.;;;;;;;;Baixa;Bicicleta: revisar NCM antes de cadastrar.;regra_conservadora;;;;True;"Cadastro simulado; nada foi salvo."
